photo_id,date_posted,caption,comments,likes,photo_src,is_video
BhFx-ofBKlp,2018-04-02 18:45:21,Looking for more Field Research tasks? Spin your nearby PokéStops to receive Field Research tasks that range from catching certain Pokémon to landing Curveballs. Have fun! #PokemonGOtip,2857,56,https://scontent-sjc3-1.cdninstagram.com/vp/476176d380696edb2f7f941e63bc4b7b/5AC518E2/t51.2885-15/e35/29417939_348024585686561_2600059650653028352_n.jpg,True
BhEoKmQhJHI,2018-04-02 08:00:11,"Trainers, Legendary Pokémon Latias and Latios will fly into regional Raid Battles on April 2. Which one will be near you? #BeLegendary Click the link in our bio to learn more. #Latias #Latios #PokemonGO #Pokemon",23690,568,https://scontent-sjc3-1.cdninstagram.com/vp/5611e0d9af9ec7481a0fcddd76514830/5B523A63/t51.2885-15/e35/29739977_2042097466038157_3134602205047291904_n.jpg,False
Bg_ixkghI7B,2018-03-31 08:36:53,"Experience Pokémon GO like never before with cutting-edge 8-bit graphics! Registering approximately twice the definition of 4K, the chunky squares of each pixel provide realistic detail and unbelievable definition. To learn more, click on our link in the bio! #PokemonGO #Pokemon",30750,2218,https://scontent-sjc3-1.cdninstagram.com/vp/25239fddc0ce92d90dea51d93856730a/5B6B74A6/t51.2885-15/e35/29401124_1598537763592229_1526173593061294080_n.jpg,False
Bg9dybBBm5r,2018-03-30 13:14:49,"Trainers, it’s time to conduct some important Pokémon research and help Professor Willow find Mew! Let’s get moving! #FindMew",15553,291,https://scontent-sjc3-1.cdninstagram.com/vp/0c9b73c37ba664812fc33c233db45b98/5B553CA8/t51.2885-15/e35/29095849_190558251732240_318825296511893504_n.jpg,False
Bg7lPQ4BZLy,2018-03-29 19:41:27,"Know a Raid Battle party team member who didn't catch Lugia when it first came to Pokémon GO? Send a reminder by tagging them in this post. With only a few days left to battle Lugia before it goes back to the ocean, now is your chance! #PokemonGO #Lugia",16732,377,https://scontent-sjc3-1.cdninstagram.com/vp/68b72997bcc212aebe7de884b6afa823/5B52CD0A/t51.2885-15/e35/29714518_160426641442429_2972544056652988416_n.jpg,False
Bg6vlWQB7XU,2018-03-29 11:52:36,"Get ready, Trainers! Field Research and Special Research tasks will be available to you soon. Who among you will be the first to help Professor Willow #FindMew?",22308,426,https://scontent-sjc3-1.cdninstagram.com/vp/2defaf22c5a221f48dc7c3e498486417/5B5E5B54/t51.2885-15/e35/29403048_2116673355233542_4373584713848193024_n.jpg,False
Bg47ZCABYg8,2018-03-28 18:57:34,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others. Be like Togepi, and remember to share a smile with another Trainer today! 
#Togepi #PokemonGO",8416,84,https://scontent-sjc3-1.cdninstagram.com/vp/2224bc6e1a3ce39494cca3e93a85c8df/5AC510CE/t51.2885-15/e35/29095847_181316799340179_3920934876412379136_n.jpg,True
Bg3wXckBuFe,2018-03-28 08:01:43,Learn how our developers built the new research feature in Pokémon GO by clicking the link in our bio. #PokemonGO #Pokemon,23068,199,https://scontent-sjc3-1.cdninstagram.com/vp/62400b6504cf80b829ea786bd15417cc/5B540D82/t51.2885-15/e35/29093160_236228356944422_1968291337463660544_n.jpg,False
Bg2Q6aQBJVb,2018-03-27 18:07:38,"Did you know Lugia's wings pack devastating power? A light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea. #PokemonGO #Lugia",12276,123,https://scontent-sjc3-1.cdninstagram.com/vp/9b12809a5130bff7329c2e6352786cf2/5B6E3889/t51.2885-15/e35/29403280_1781577708571276_623382595702358016_n.jpg,False
Bg1dcAVBNcI,2018-03-27 10:37:50,"Mark your calendar, Trainers! #PokemonGOCommunityDay returns Sunday, April 15, with Mareep! #PokemonGO",23781,992,https://scontent-sjc3-1.cdninstagram.com/vp/690bd2200912613c61d91118c2daf797/5B520B34/t51.2885-15/e35/29714800_1765119043553926_6435992064806092800_n.jpg,False
BgzpRm_Bbhw,2018-03-26 17:42:48,"Trainers, are you an expert at defending Gyms? Show off your team pride with new Gym Leader avatar items! Depending on your Gym Leader medal rank, pieces of this outfit will be unlocked and available for purchase. #PokemonGO #Pokemon",12790,188,https://scontent-sjc3-1.cdninstagram.com/vp/f38dc921d6f86a21026bd6fe82736eac/5B556BE9/t51.2885-15/e35/29092725_1885981011692681_3198453705720463360_n.jpg,False
BgyZsfwh-Yt,2018-03-26 06:07:25,"Trainers! Professor Willow is seeking Trainers to help him find out if a series of mysterious happenings are connected to the Mythical Pokémon 
Mew. Click the link in our bio to learn more. #PokemonGO #Pokemon",27507,845,https://scontent-sjc3-1.cdninstagram.com/vp/e913684eacadcfb6b52e558d667e5352/5B716A98/t51.2885-15/e35/29400558_179673869343712_6749794324050870272_n.jpg,False
BgxEqTiBhD5,2018-03-25 17:44:22,"Had an amazing time meeting some fellow Trainers on #PokemonGOCommunityDay? Discovered an amazing park or took a great AR photo of Bulbasaur? We'd love to see it! Don't forget to post your #PokemonGOCommunityDay photos, Trainers!",12748,131,https://scontent-sjc3-1.cdninstagram.com/vp/fbb0b52c81836912e0cbb970e5b33f6d/5B50C2A9/t51.2885-15/e35/29402530_619078541767599_3364503356201500672_n.jpg,False
BguLVlBBAYM,2018-03-24 14:44:59,"Make sure to post your best team photos during #PokemonGOCommunityDay, Trainers. We'll be featuring some of our favorite photos on our Community Day website. #PokemonGO",12740,85,https://scontent-sjc3-1.cdninstagram.com/vp/d71b4688708ef52b55be84cfc0481657/5B5E2545/t51.2885-15/e35/29415012_206095709977697_960001447800340480_n.jpg,False
Bgo4hbVBOG3,2018-03-22 13:24:23,Trainers: The Pokémon GO Eggstravaganza is here! Pokémon normally found in 5 km or 10 km Eggs will be in 2 km Eggs until April 2! #PokemonGO #Pokemom #Wynaut,14848,119,https://scontent-sjc3-1.cdninstagram.com/vp/869f4a3e2058d2f2a2301307b34979d2/5B5A99D7/t51.2885-15/e35/29090690_1659351510779764_7886216582941114368_n.jpg,False
Bglvx64B2Mf,2018-03-21 08:10:16,"Trainers, get ready to hatch some egg-citing 2 km Eggs! Eggstravaganza returns on March 22. See the link in our bio to learn more.",17200,206,https://scontent-sjc3-1.cdninstagram.com/vp/7d2dd9dd1cb68009c86359c463747c31/5B5A783E/t51.2885-15/e35/29414732_178672592754831_5745427006544150528_n.jpg,False
BgjyDkqBljr,2018-03-20 13:51:40,"Last month, #TeamMystic dominated Community Day by catching the most Pokémon per player. #TeamInstinct and #TeamValor are you ready to make a comeback? #PokemonGOCommunityDay",12431,567,https://scontent-sjc3-1.cdninstagram.com/vp/048343233cf1564b247b331d94ca837c/5B530E7C/t51.2885-15/e35/28765729_425824074522296_3890100700604006400_n.jpg,False
