photo_id,date_posted,caption,comments,likes,photo_src,is_video
BfY8juJBaQR,2018-02-19 11:20:24,Keeping it classy. Black tie only 🖤,32,1,https://scontent-sjc3-1.cdninstagram.com/vp/ad36cd6c7f96bfce4553eb400e23e36e/5B7534E6/t51.2885-15/e35/27581739_345210359297499_6690465204897054720_n.jpg,False
Be7DTVEhjgK,2018-02-07 20:42:07,,34,2,https://scontent-sjc3-1.cdninstagram.com/vp/267cc8d8c9e3bf68d1d90a9e4899c961/5B3A1C9E/t51.2885-15/e35/27581983_525771094473503_551752445399662592_n.jpg,False
Bdd2_wCBTJd,2018-01-02 16:05:13,Wish you a tasty year ahead! Ring in the New Year with your favorite flavor and your BFF (Best Froyo Friend). Share your favorite flavor below and tag a friend!,27,3,https://scontent-sjc3-1.cdninstagram.com/vp/5ace0b0a9e0968ddd44159eb56adcd7c/5B649085/t51.2885-15/e35/25024112_851638115016779_7114782148103503872_n.jpg,False
Bc3e9rOht_o,2017-12-18 18:24:04,Need a last minute holiday present? We have plenty of gift cards and ornaments ready for you to stop by and get quick and easy! #happyholidays #presents #holidaytreats #frozenyogurt #dtsj #sanjose,15,0,https://scontent-sjc3-1.cdninstagram.com/vp/1e887632bb3a0a1253c56187b0a92b13/5B7348B0/t51.2885-15/e35/25023972_1578573118868083_5399892665628098560_n.jpg,False
BbgocU9hG8I,2017-11-15 00:52:59,Some of the awesome creations made during the Ghirardelli $5 ultimate cup night!! #yougurtland #dtsj #downtownsj #familytime #friendsandfamily,21,0,https://scontent-sjc3-1.cdninstagram.com/vp/280bae959217b276d917a63fc42c6a2b/5B5B3769/t51.2885-15/e35/23507982_653470968374878_8269976888705810432_n.jpg,False
BaUbbE3BC0C,2017-10-16 11:36:56,Start taking pictures and tagging @yogurtlandsjsu for a 10% discount! We love seeing everyone's experience in and out of the store!#yogurtland #picturetime #halloween #sjsu #downtownsj #spartans #discount #yogurt #frozentreats #joyfulliving,32,0,https://scontent-sjc3-1.cdninstagram.com/vp/33d442f30696f46945e424df485f3a52/5B5DA388/t51.2885-15/e35/22500415_1590568417672551_1636351607421534208_n.jpg,False
BZW-1c4BOux,2017-09-22 14:53:27,Grab your donation cup and give a little! 🌻🌸 #givealittle #yogurtland #hope #hopeinacup #donate #hopechangeseverything #downtownsj #sjsu #downtownsanjose #yogurtlandcares #helpingothers,24,0,https://scontent-sjc3-1.cdninstagram.com/vp/73054e2ae3935a3c73cd8c4269f76b03/5B754D85/t51.2885-15/e35/21909441_1944680852412739_7454714309772312576_n.jpg,False
BYyo7i8hAoZ,2017-09-08 12:09:23,"Don't forget to register, in store, to become a Rewards Member! Get a big spoon and 3 oz off your purchase! #yogurtlandsjsu #signup #sanjose #sjsu #realreward #icecream #froyo #downtownsj #foodie @karenbridgitt",22,1,https://scontent-sjc3-1.cdninstagram.com/vp/0565fd8a28eca9346d15b5379df01c10/5AC59958/t51.2885-15/e15/21568448_162732354280136_2877661928367325184_n.jpg,True
BVo3Uv3B7_j,2017-06-22 03:28:34,"Beat the heat and come try our Limited Time 5 summer flavors! 🍉🍓🍑🍰
#yogurtland #sanjosestate #sanjose #summer #watermelon #strawberryshortcake #peachesandcream #mudpie #apricotmango #tart #sorbet",44,1,https://scontent-sjc3-1.cdninstagram.com/vp/f022b7e42927881c8dfd1816c8fb666e/5AC50B1B/t51.2885-15/e15/19367811_197766340750355_3395831616457670656_n.jpg,True
BGTN4TJHpeh,2016-06-05 21:51:28,"Another lucky customer receiving their Unlimited 16oz cup . key is toppings under, yogurt on top! 🍧
#yogurtland #lit",19,0,https://scontent-sjc3-1.cdninstagram.com/vp/4f83eae907afddd0a7301eb3a5774776/5B6CEA12/t51.2885-15/e35/13355639_515983558604474_89353563_n.jpg,False
BExFBhSnpR7,2016-04-28 19:08:30,"Start spreading the word! Yogurtland SJSU will be having a grand reopening to celebrate under new management. More info will be provided soon :D 
#yogurtland  #yogurtlandsjsu #grandreopening 
#SJSU #sanjosestate",22,3,https://scontent-sjc3-1.cdninstagram.com/vp/d548971a8f1d698865cbd89704c96bcf/5B671FB0/t51.2885-15/e35/13102311_1009961192385413_2096200539_n.jpg,False
BCJOZZcnpXe,2016-02-23 13:38:00,One of biggest cups. Fan love to its finest! at @yogurtlandsjsu #froyo #yogurtland #fruit #yogurt #tart,38,0,https://scontent-sjc3-1.cdninstagram.com/vp/bc1f14214037db01790ec9ad0dd4afac/5B4F1A09/t51.2885-15/e35/12747571_215656365451605_1427516163_n.jpg,False
BB5k1S-npRz,2016-02-17 11:46:12,"Cleanliness is our top priority! 
#YOGURTLANDSJSU #squeakyclean",18,2,https://scontent-sjc3-1.cdninstagram.com/vp/8ea09eba93a8041358933915518b79be/5AC51652/t51.2885-15/e15/12729671_1685459788378372_1986099243_n.jpg,True
BB0iqkgHpXh,2016-02-15 12:51:03,Come out and enjoy our popular cinnamonnie Churro yogurt and always fresh strawberries 😋 #YOGURTLANDSJSU #spartans,18,2,https://scontent-sjc3-1.cdninstagram.com/vp/583545778097367dbead0818d2359320/5B6C2F90/t51.2885-15/e35/12716640_224790331198426_2049461968_n.jpg,False
